1435	0.14	Historical	-117.7555989	33.51333409
1436	0.12	Historical	-117.7565894	33.51370814
1437	0.07	Historical	-117.7578517	33.5136823
1438	0.11	Historical	-117.7585024	33.51462235
1439	0.15	Historical	-117.759512	33.51477112
1440	0.13	Historical	-117.7599782	33.51533647
1441	0.13	Historical	-117.760302	33.51607488
1444	0.14	Historical	-117.761918	33.51854985
1446	0.07	Historical	-117.7632322	33.52002626
1447	0.04	Historical	-117.7643209	33.5204816
1448	0.00	Historical	-117.7647564	33.52128399
1449	0.09	Historical	-117.7652372	33.52208977
1450	0.09	Historical	-117.7657305	33.52289539
1451	0.09	Historical	-117.7659977	33.52383777
1452	0.09	Historical	-117.7669726	33.524344
1453	0.02	Historical	-117.7677765	33.52494222
1454	0.02	Historical	-117.7688105	33.52538786
1455	0.02	Historical	-117.7695449	33.52597306
1456	0.02	Historical	-117.7702301	33.52668669
1457	0.11	Historical	-117.7710262	33.52728281
1458	0.07	Historical	-117.7718185	33.52799216
1463	0.07	Historical	-117.7755215	33.53128075
1464	0.08	Historical	-117.7762545	33.53184413
1466	0.08	Historical	-117.777568	33.53327546
1467	0.08	Historical	-117.7781148	33.53410294
1469	0.08	Historical	-117.7790245	33.5357092
1470	0.06	Historical	-117.7796617	33.53649317
1474	0.06	Historical	-117.7819321	33.53951068
1481	0.07	Historical	-117.787991	33.54314237
1482	0.07	Historical	-117.7891439	33.54302536
1483	0.08	Historical	-117.7900769	33.5434832
1484	0.13	Historical	-117.7911815	33.54355224
1485	0.12	Historical	-117.7924753	33.54324726
1486	0.14	Historical	-117.7931595	33.54441681
1487	0.15	Historical	-117.7940231	33.54485688
1488	0.16	Historical	-117.7951615	33.54501262
1489	0.16	Historical	-117.796096	33.5455601
1490	0.16	Historical	-117.7971106	33.54562022
1492	0.20	Historical	-117.7993847	33.5454507
1493	0.07	Historical	-117.8002857	33.54606775
1496	0.05	Historical	-117.8032788	33.54705314
1497	0.06	Historical	-117.8043912	33.54688049
1498	0.06	Historical	-117.8054884	33.54738193
1499	0.06	Historical	-117.8055299	33.54849535
1500	0.07	Historical	-117.8069678	33.54867936
1507	0.08	Historical	-117.8123915	33.55287696
1508	0.09	Historical	-117.8139212	33.55105922
1511	0.11	Historical	-117.816212	33.55416549
1512	0.10	Historical	-117.8171509	33.55448098
1513	0.11	Historical	-117.8180843	33.55456851
1514	0.11	Historical	-117.8195639	33.55421741
1515	0.11	Historical	-117.8192636	33.5552584
1516	0.11	Historical	-117.8196671	33.55610387
1517	0.11	Historical	-117.8183442	33.55721371
1518	0.07	Historical	-117.8189599	33.55823782
1519	0.02	Historical	-117.8198135	33.55910112
1520	0.04	Historical	-117.8205426	33.55971889
1523	0.02	Historical	-117.823018	33.56151986
1524	0.02	Historical	-117.8238965	33.56222146
1525	0.15	Historical	-117.8246204	33.56283757
1526	0.15	Historical	-117.8255313	33.56345587
1527	0.09	Historical	-117.8264497	33.56394839
1528	0.08	Historical	-117.8274744	33.56428457
1529	0.10	Historical	-117.828376	33.56488584
1530	0.13	Historical	-117.8295756	33.56486664
1531	0.14	Historical	-117.8305332	33.56537886
1532	0.08	Historical	-117.8314143	33.56577307
1533	0.09	Historical	-117.8323782	33.56603101
1534	0.10	Historical	-117.8328622	33.56668174
1535	0.11	Historical	-117.8333709	33.56750764
1536	0.11	Historical	-117.8339272	33.56824348
1537	0.10	Historical	-117.8345705	33.56898756
1538	0.10	Historical	-117.835202	33.56968148
1539	0.20	Historical	-117.8359413	33.57044344
1540	0.29	Historical	-117.8368643	33.57086448
1541	0.16	Historical	-117.8374588	33.57164551
1542	0.07	Historical	-117.8382922	33.5722435
1543	0.05	Historical	-117.8389724	33.57292387
1548	0.29	Historical	-117.8429023	33.57596607
1549	0.06	Historical	-117.8438436	33.57641394
1550	0.05	Historical	-117.8447676	33.57690471
1551	0.07	Historical	-117.8456997	33.57739783
1552	0.05	Historical	-117.8467475	33.57787767
1553	0.04	Historical	-117.8477122	33.57819467
1554	0.06	Historical	-117.8486737	33.57857057
1555	0.09	Historical	-117.8496694	33.57900422
1556	0.16	Historical	-117.8506954	33.57929493
1557	0.16	Historical	-117.8516998	33.57983543
1558	0.17	Historical	-117.8526917	33.58003049
1559	0.18	Historical	-117.8534772	33.58034228
1560	0.16	Historical	-117.8541999	33.58098215
1561	0.10	Historical	-117.8551264	33.58150077
1562	0.07	Historical	-117.8559351	33.5821543
1563	0.19	Historical	-117.856818	33.58274397
1564	0.16	Historical	-117.8577826	33.58304778
1565	0.10	Historical	-117.8588361	33.58345637
1566	0.14	Historical	-117.8598388	33.58382948
1567	0.17	Historical	-117.8608686	33.58397573
1568	0.15	Historical	-117.8618668	33.58435046
1569	0.06	Historical	-117.862955	33.5845899
